iter	Passed	Remaining
427	1703	2276
428	1705	2270
429	1709	2265
430	1711	2259
431	1713	2253
432	1721	2253
433	1723	2247
434	1725	2240
435	1728	2235
436	1733	2233
437	1737	2229
438	1739	2222
439	1743	2219
440	1747	2215
441	1750	2210
442	1752	2203
443	1756	2199
444	1758	2193
445	1760	2186
446	1763	2181
447	1770	2181
448	1772	2175
449	1774	2169
450	1781	2168
451	1784	2162
452	1786	2156
453	1788	2151
454	1796	2152
455	1799	2146
456	1801	2139
457	1803	2134
458	1810	2133
459	1813	2128
460	1815	2122
461	1818	2117
462	1821	2113
463	1824	2107
464	1826	2100
465	1834	2102
466	1837	2097
467	1839	2091
468	1846	2090
469	1848	2084
470	1850	2078
471	1853	2073
472	1858	2071
473	1861	2066
474	1863	2060
475	1867	2055
476	1870	2051
477	1872	2045
478	1874	2039
479	1880	2037
480	1883	2032
481	1885	2026
482	1888	2021
483	1894	2020
484	1897	2014
485	1899	2008
486	1905	2006
487	1907	2001
488	1910	1996
489	1912	1990
490	1918	1988
491	1921	1984
492	1923	1978
493	1925	1972
494	1933	1972
495	1936	1967
496	1938	1961
497	1942	1958
498	1945	1953
499	1947	1947
500	1949	1942
501	1957	1942
502	1960	1936
503	1962	1930
504	1965	1926
505	1972	1925
506	1974	1920
507	1976	1914
508	1984	1914
509	1987	1909
510	1989	1903
511	1992	1899
512	1998	1897
513	2001	1892
514	2003	1886
515	2007	1882
516	2009	1877
517	2011	1871
518	2014	1866
519	2022	1867
520	2024	1861
521	2026	1855
522	2033	1854
523	2035	1849
524	2039	1844
525	2041	1839
526	2048	1838
527	2050	1832
528	2052	1827
529	2056	1824
530	2060	1819
531	2062	1814
532	2065	1809
533	2070	1806
534	2073	1801
535	2075	1796
536	2081	1795
537	2085	1790
538	2087	1785
539	2098	1787
540	2101	1783
541	2104	1777
542	2109	1775
543	2111	1770
544	2113	1764
545	2120	1762
546	2122	1757
547	2125	1753
548	2127	1747
549	2133	1745
550	2136	1741
551	2138	1735
552	2142	1732
553	2145	1727
554	2147	1722
555	2150	1717
556	2156	1714
557	2159	1710
558	2161	1705
559	2166	1701
560	2170	1698
561	2174	1694
562	2176	1689
563	2183	1687
564	2185	1682
565	2187	1677
566	2191	1673
567	2195	1669
568	2198	1665
569	2202	1661
570	2205	1656
571	2208	1652
572	2210	1646
573	2218	1646
574	2220	1641
575	2222	1635
576	2225	1631
577	2231	1629
578	2234	1624
579	2236	1619
580	2239	1615
581	2242	1610
582	2245	1606
583	2247	1601
584	2255	1600
585	2257	1595
586	2259	1590
587	2267	1589
588	2271	1584
589	2273	1579
590	2275	1574
591	2279	1570
592	2281	1565
593	2284	1561
594	2288	1557
595	2291	1553
596	2293	1548
597	2295	1543
598	2303	1542
599	2305	1537
600	2310	1534
601	2315	1530
602	2328	1532
603	2333	1529
604	2335	1525
605	2338	1520
606	2355	1524
607	2360	1521
608	2363	1517
609	2365	1512
610	2370	1509
611	2416	1531
612	2419	1527
613	2437	1532
614	2440	1527
615	2443	1523
616	2446	1518
617	2449	1513
618	2452	1509
619	2458	1506
620	2471	1508
621	2475	1504
622	2478	1500
623	2482	1495
624	2486	1492
625	2489	1487
626	2495	1484
627	2498	1480
628	2501	1475
629	2505	1471
630	2511	1468
631	2514	1464
632	2522	1462
633	2526	1458
634	2529	1454
635	2536	1451
636	2539	1447
637	2550	1447
638	2554	1442
639	2564	1442
640	2577	1443
641	2591	1444
642	2594	1440
643	2597	1436
644	2607	1435
645	2610	1430
646	2614	1426
647	2624	1425
648	2630	1422
649	2633	1418
650	2636	1413
651	2641	1409
652	2644	1405
653	2648	1401
654	2652	1396
655	2655	1392
656	2659	1388
657	2662	1383
658	2671	1382
659	2681	1381
660	2685	1377
661	2688	1372
662	2696	1370
663	2699	1365
664	2702	1361
665	2706	1357
666	2712	1354
667	2715	1349
668	2718	1344
669	2721	1340
670	2729	1338
671	2732	1333
672	2735	1329
673	2742	1326
674	2752	1325
675	2767	1326
676	2780	1326
677	2784	1322
678	2788	1318
679	2797	1316
680	2800	1311
681	2804	1307
682	2809	1303
683	2813	1299
684	2831	1302
685	2834	1297
686	2839	1293
687	2847	1291
688	2850	1286
689	2859	1284
690	2862	1280
691	2865	1275
692	2868	1270
693	2871	1266
694	2875	1261
695	2877	1257
696	2883	1253
697	2886	1248
698	2898	1248
699	2901	1243
700	2904	1238
701	2914	1237
702	2917	1232
703	2920	1227
704	2928	1225
705	2932	1221
706	2936	1216
707	2946	1215
708	2956	1213
709	2969	1213
710	2974	1208
711	2978	1204
712	2988	1202
713	2993	1199
714	2998	1195
715	3014	1195
716	3026	1194
717	3034	1191
718	3067	1198
719	3072	1194
720	3082	1192
721	3087	1188
722	3096	1186
723	3101	1182
724	3106	1178
725	3109	1173
726	3112	1168
727	3121	1166
728	3123	1161
729	3126	1156
730	3134	1153
731	3138	1148
732	3140	1144
733	3149	1141
734	3151	1136
735	3154	1131
736	3163	1128
737	3166	1124
738	3168	1119
739	3177	1116
740	3180	1111
741	3182	1106
742	3191	1103
743	3194	1099
744	3196	1094
745	3202	1090
746	3205	1085
747	3208	1080
748	3211	1076
749	3214	1071
750	3217	1066
751	3223	1063
752	3226	1058
753	3229	1053
754	3236	1050
755	3238	1045
756	3241	1040
757	3245	1036
758	3248	1031
759	3251	1026
760	3255	1022
761	3258	1017
762	3261	1012
763	3266	1009
764	3269	1004
765	3272	999
766	3277	995
767	3280	991
768	3283	986
769	3289	982
770	3293	978
771	3295	973
772	3303	970
773	3306	965
774	3309	960
775	3318	957
776	3321	953
777	3324	948
778	3330	944
779	3333	940
780	3335	935
781	3344	932
782	3347	927
783	3350	923
784	3358	919
785	3361	915
786	3365	910
787	3369	906
788	3372	901
789	3381	898
790	3384	894
791	3387	889
792	3390	885
793	3394	880
794	3400	876
795	3405	872
796	3409	868
797	3412	863
798	3415	859
799	3423	855
800	3427	851
801	3429	846
802	3435	842
803	3438	838
804	3444	834
805	3447	829
806	3452	825
807	3458	821
808	3461	817
809	3469	813
810	3473	809
811	3475	804
812	3483	801
813	3486	796
814	3489	792
815	3494	787
816	3497	783
817	3500	778
818	3505	774
819	3509	770
820	3513	765
821	3520	762
822	3523	757
823	3527	753
824	3531	749
825	3542	746
826	3548	742
827	3553	738
828	3567	735
829	3571	731
830	3580	728
831	3583	723
832	3586	719
833	3596	715
834	3600	711
835	3607	707
836	3610	703
837	3613	698
838	3617	694
839	3620	689
840	3622	684
841	3629	681
842	3632	676
843	3635	671
844	3638	667
845	3641	662
846	3644	658
847	3647	653
848	3651	649
