iter	RMSE
0	15.14053812
1	15.12061055
2	15.09958997
3	15.07869659
4	15.05897488
5	15.04016882
6	15.01478823
7	14.99426538
8	14.97523041
9	14.95558595
10	14.94032454
11	14.92718001
12	14.91746164
13	14.90173163
14	14.89219934
15	14.86642967
16	14.85049452
17	14.84214599
18	14.83376523
19	14.82017517
20	14.81179088
21	14.8102589
22	14.79462087
23	14.77425868
24	14.7582028
25	14.74772189
26	14.72551137
27	14.70490989
28	14.69209578
29	14.68069508
30	14.67295711
31	14.6608828
32	14.64754124
33	14.6407136
34	14.61971454
35	14.60260449
36	14.59837079
37	14.58055387
38	14.56618942
39	14.55198564
40	14.52977732
41	14.52007458
42	14.51474894
43	14.50646242
44	14.49550609
45	14.48124644
46	14.4766446
47	14.45919768
48	14.45323902
49	14.44024626
50	14.42287442
51	14.40077699
52	14.39035517
53	14.38754623
54	14.37900952
55	14.36927276
56	14.36038237
57	14.34906962
58	14.32697392
59	14.32021953
60	14.31977864
61	14.30580107
62	14.28048657
63	14.27043819
64	14.25101183
65	14.23663224
66	14.22170367
67	14.20556739
68	14.19845513
69	14.19707183
70	14.18579806
71	14.17909686
72	14.1667799
73	14.15889285
74	14.14515608
75	14.13049755
76	14.11580238
77	14.10848226
78	14.10092598
79	14.09035285
80	14.0850874
81	14.06950069
82	14.05724403
83	14.04872591
84	14.03268819
85	14.02063576
86	14.00642094
87	13.99957174
88	13.98729689
89	13.96821154
90	13.95927432
91	13.94816639
92	13.93810774
93	13.93109219
94	13.92889809
95	13.91760608
96	13.90239102
97	13.88919724
98	13.88466186
99	13.87735852
100	13.86317198
101	13.8528711
102	13.84173701
103	13.82971028
104	13.82577141
105	13.81702407
106	13.80318308
107	13.79008554
108	13.78541202
109	13.77870073
110	13.77441463
111	13.77018854
112	13.76101428
113	13.75049921
114	13.74736682
115	13.73292465
116	13.72618966
117	13.72361415
118	13.71669672
119	13.71197596
120	13.69660507
121	13.68386337
122	13.67681739
123	13.67097988
124	13.66008581
125	13.65547724
126	13.65167855
127	13.63068892
128	13.62202617
129	13.61038838
130	13.60263612
131	13.5957363
132	13.58664828
133	13.58114978
134	13.57758427
135	13.57411702
136	13.56431427
137	13.55816797
138	13.54559
139	13.5382064
140	13.5324159
141	13.52202853
142	13.51428182
143	13.50476885
144	13.49148679
145	13.48774419
146	13.48139597
147	13.47411671
148	13.46461496
149	13.45040415
150	13.44446639
151	13.4337464
152	13.42465027
153	13.41583327
154	13.40732537
155	13.40047033
156	13.39340261
157	13.38282807
158	13.37819119
159	13.37026864
160	13.35465596
161	13.34130537
162	13.32978041
163	13.31371468
164	13.30652844
165	13.29489152
166	13.28780685
167	13.26972896
168	13.26808711
169	13.26485314
170	13.25767533
171	13.25529592
172	13.24561067
173	13.23838713
174	13.22411664
175	13.2129574
176	13.20901836
177	13.19663998
178	13.18811626
179	13.18116366
180	13.17436792
181	13.16897333
182	13.15409785
183	13.14043691
184	13.13184321
185	13.1185421
186	13.11490864
187	13.1076505
188	13.10018353
189	13.09228664
190	13.08594938
191	13.07669282
192	13.07049887
193	13.06588144
194	13.05963266
195	13.04245754
196	13.03913096
197	13.03258182
198	13.02490855
199	13.01357766
200	13.01063035
201	13.00099088
202	12.99504298
203	12.99007675
204	12.98138959
205	12.97554203
206	12.96346507
207	12.95500776
208	12.95082176
209	12.94786929
210	12.94224264
211	12.9403769
212	12.93424027
213	12.92794661
214	12.91940671
215	12.91160973
216	12.90491062
217	12.90003117
218	12.89400653
219	12.88829829
220	12.88475499
221	12.88382079
222	12.86558204
223	12.86472739
224	12.86179609
225	12.86086134
226	12.86020135
227	12.85856919
228	12.8473578
229	12.8422501
230	12.83805534
231	12.81940863
232	12.81246851
233	12.80257373
234	12.80061377
235	12.79396521
236	12.7791584
237	12.76630459
238	12.75809203
239	12.75352789
240	12.75259381
241	12.73720749
242	12.73592829
243	12.7350742
244	12.72999577
245	12.71156518
246	12.71019399
247	12.70408353
248	12.70257059
249	12.69145972
250	12.68752145
251	12.67254343
252	12.67137574
253	12.66891325
254	12.66583891
255	12.65693291
256	12.65653046
257	12.64810391
258	12.64391132
259	12.64173444
260	12.63597985
261	12.6278182
262	12.61185582
263	12.61131701
264	12.61068154
265	12.60411465
266	12.57932148
267	12.5716997
268	12.56855418
269	12.56817894
270	12.5624656
271	12.55641526
272	12.55550561
273	12.54835773
274	12.53563717
275	12.52070404
276	12.51652679
277	12.5059374
278	12.50516284
279	12.49870108
280	12.48474889
281	12.47823696
282	12.46386941
283	12.45571369
284	12.44679191
285	12.43429634
286	12.43047131
287	12.41776148
288	12.41734006
289	12.41699018
290	12.41658152
291	12.40994229
292	12.40047512
293	12.39935795
294	12.39750574
295	12.39084774
296	12.38281431
297	12.37910045
298	12.37877323
299	12.35547059
300	12.35394098
301	12.34800917
302	12.34768442
303	12.33576968
304	12.32712872
305	12.32610011
306	12.318589
307	12.31208442
308	12.30351193
309	12.29847823
310	12.28529903
311	12.27429215
312	12.26472825
313	12.2514374
314	12.24108117
315	12.23604707
316	12.22670547
317	12.22620703
318	12.21917515
319	12.21429928
320	12.20161046
321	12.20025958
322	12.19391177
323	12.1835263
324	12.16493939
325	12.15573868
326	12.14939986
327	12.13852481
328	12.1340446
329	12.12958952
330	12.12445166
331	12.11911501
332	12.11659308
333	12.11026752
334	12.10721262
335	12.1068855
336	12.10661281
337	12.09353889
338	12.08014094
339	12.07218605
340	12.05648273
341	12.04602204
342	12.04574399
343	12.02955408
344	12.01834558
345	12.01307868
346	12.01122939
347	12.00972225
348	12.00538535
349	12.0035022
350	12.00026467
351	11.99403964
352	11.98769306
353	11.98518489
354	11.9840844
355	11.98062057
356	11.97078818
357	11.96318725
358	11.95713837
359	11.95321219
360	11.94654259
361	11.94540761
362	11.93863007
363	11.93082505
364	11.92747636
365	11.91968952
366	11.91117435
367	11.89926083
368	11.88995077
369	11.88132923
370	11.87749938
371	11.87069062
372	11.87044444
373	11.86182969
374	11.85833212
375	11.85776114
376	11.85432192
377	11.83618467
378	11.83544681
379	11.83004271
380	11.82350741
381	11.81699348
382	11.81255183
383	11.81035325
384	11.79905684
385	11.79297389
386	11.79214044
387	11.78194524
388	11.76697983
389	11.75873692
390	11.7524641
391	11.75217536
392	11.75194481
393	11.74813331
394	11.74260576
395	11.72928753
396	11.72535609
397	11.72271207
398	11.71767312
399	11.71738042
400	11.70671715
401	11.69868093
402	11.68356822
403	11.67554344
404	11.6599656
405	11.65531326
406	11.65445898
407	11.65196115
408	11.64651614
409	11.64532477
410	11.64128086
411	11.62833949
412	11.62244135
413	11.6092253
414	11.59805907
415	11.58806206
416	11.57630007
417	11.57033625
418	11.55785006
419	11.55208211
420	11.54626584
421	11.53231228
422	11.52747329
423	11.52154626
424	11.50974657
425	11.50111262
426	11.49841283
427	11.4933456
428	11.48816452
429	11.48566124
430	11.47741462
431	11.4673081
432	11.45487075
433	11.45191617
434	11.44360513
435	11.43640304
436	11.42458874
437	11.40955552
438	11.40670876
439	11.40281563
440	11.39664615
441	11.39487227
442	11.38526702
443	11.37020693
444	11.36482283
445	11.35941021
446	11.35310335
447	11.34600079
448	11.33726409
449	11.33542543
450	11.33390502
451	11.32828149
452	11.31674865
453	11.31654724
454	11.31036466
455	11.29724724
456	11.29279284
457	11.28695379
458	11.2843754
459	11.28180831
460	11.27552662
461	11.26892204
462	11.25702833
463	11.25480312
464	11.24137672
465	11.23674607
466	11.23469448
467	11.22125532
468	11.21827504
469	11.21304499
470	11.20667211
471	11.19791802
472	11.19352946
473	11.18737837
474	11.1863881
475	11.17752173
476	11.17732654
477	11.1734653
478	11.16297556
479	11.15867628
480	11.15435444
481	11.14071766
482	11.1263376
483	11.12088571
484	11.1101568
485	11.10196789
486	11.09043384
487	11.08690131
488	11.07727568
489	11.06773932
490	11.066807
491	11.06230772
492	11.0570155
493	11.04909306
494	11.04393226
495	11.03794884
496	11.02925358
497	11.02756883
498	11.02258641
499	11.01477086
500	11.00078833
501	10.99295198
502	10.97925308
503	10.9728407
504	10.9669696
505	10.9590062
506	10.95070683
507	10.94852299
508	10.94472361
509	10.93621079
510	10.92910635
511	10.91717976
512	10.90797512
513	10.89388917
514	10.89338966
515	10.88263987
516	10.87954705
517	10.87430393
518	10.8740891
519	10.85985642
520	10.85598748
521	10.84884051
522	10.84010423
523	10.8375272
524	10.83558711
525	10.83250035
526	10.8293144
527	10.82055933
528	10.81418595
529	10.80940622
530	10.80208553
531	10.79641962
532	10.79073909
533	10.78656054
534	10.77849244
535	10.77283876
536	10.76821613
537	10.7663371
538	10.76494127
539	10.75451536
540	10.74486615
541	10.74354104
542	10.73041319
543	10.7182688
544	10.71058993
545	10.70927894
546	10.70669516
547	10.70121033
548	10.69638336
549	10.69232178
550	10.68752047
551	10.68178952
552	10.67860471
553	10.67173479
554	10.66914502
555	10.66526882
556	10.65915115
557	10.65348869
558	10.64721741
559	10.63651352
560	10.63425348
561	10.63085122
562	10.6282763
563	10.62162131
564	10.61861063
565	10.61415539
566	10.60858651
567	10.60572706
568	10.6019846
569	10.59077005
570	10.58053198
571	10.57207792
572	10.56566241
573	10.56007471
574	10.5582409
575	10.5553404
576	10.55045422
577	10.54813147
578	10.54304686
579	10.52370735
580	10.51780354
581	10.51048993
582	10.50460788
583	10.49778723
584	10.4906119
585	10.48106264
586	10.4774161
587	10.47224572
588	10.46903263
589	10.46468647
590	10.46378417
591	10.45955951
592	10.45332689
593	10.44973528
594	10.44537246
595	10.4302323
596	10.42136879
597	10.41640758
598	10.40861123
599	10.40263074
600	10.38929652
601	10.38598169
602	10.37413772
603	10.36169111
604	10.35806305
605	10.35355698
606	10.34757228
607	10.34451547
608	10.33349672
609	10.32534938
610	10.31814333
611	10.31633278
612	10.30865535
613	10.29756564
614	10.29573801
615	10.29035706
616	10.28098734
617	10.27827026
618	10.26770268
619	10.2650586
620	10.25707563
621	10.25360652
622	10.24381314
623	10.23147953
624	10.22943392
625	10.21555873
626	10.20891413
627	10.20068787
628	10.18819977
629	10.18278083
630	10.1748789
631	10.16963135
632	10.16580756
633	10.16287867
634	10.16053243
635	10.15802593
636	10.15508286
637	10.14907858
638	10.14189071
639	10.13960242
640	10.13621927
641	10.12789773
642	10.12235174
643	10.11449493
644	10.11423215
645	10.11236747
646	10.1044185
647	10.10128731
648	10.09722625
649	10.09413462
650	10.09206622
651	10.08492294
652	10.08465398
653	10.07482646
654	10.07380045
655	10.07276483
656	10.0606448
657	10.05933461
658	10.05750301
659	10.04595401
660	10.04417123
661	10.03589628
662	10.0339643
663	10.02390462
664	10.02263398
665	10.01751248
666	10.00139707
667	9.994122253
668	9.990150382
669	9.987382707
670	9.985529689
671	9.977644769
672	9.966593697
673	9.960434194
674	9.948960115
675	9.942229785
676	9.932273151
677	9.929589995
678	9.927766545
679	9.920636566
680	9.912994741
681	9.909646609
682	9.906459614
683	9.904869055
684	9.899574074
685	9.891937809
686	9.887049779
687	9.885084266
688	9.881273534
689	9.875744729
690	9.870730804
691	9.8625089
692	9.851293835
693	9.841739985
694	9.841264645
695	9.836770644
696	9.835586103
697	9.83008575
698	9.824907971
699	9.821929554
700	9.806333897
701	9.798684118
702	9.794505124
703	9.786735053
704	9.783035402
705	9.772655304
706	9.770886569
707	9.764781031
708	9.758792624
709	9.753278926
710	9.750787521
711	9.747065123
712	9.743089154
713	9.736459076
714	9.728319474
715	9.720969377
716	9.711086784
717	9.70489554
718	9.702822101
719	9.701061669
720	9.694933807
721	9.685576529
722	9.684237615
723	9.66650024
724	9.662911814
725	9.657947267
726	9.652923365
727	9.648314184
728	9.640494148
729	9.637350172
730	9.627564578
731	9.616579235
732	9.611923506
733	9.606455409
734	9.596137868
735	9.587606548
736	9.582829929
737	9.578901375
738	9.575344887
739	9.575227831
740	9.569418587
741	9.563190626
742	9.560624433
743	9.553103059
744	9.550865332
745	9.546230549
746	9.544915128
747	9.544746464
748	9.540323619
749	9.53675771
750	9.531477385
751	9.525737752
752	9.524692676
753	9.522829799
754	9.520660742
755	9.514893977
756	9.506942442
757	9.498696885
758	9.493093453
759	9.486975186
760	9.478793313
761	9.472755106
762	9.464308529
763	9.456750262
764	9.455444599
765	9.449446938
766	9.449353097
767	9.444316075
768	9.442481784
769	9.438247657
770	9.431317116
771	9.428717032
772	9.424995008
773	9.423598902
774	9.421993157
775	9.420956888
776	9.416698601
777	9.416278047
778	9.41231943
779	9.403285273
780	9.401656957
781	9.399759717
782	9.388723547
783	9.377224828
784	9.36967975
785	9.367146613
786	9.359024216
787	9.354944721
788	9.347851154
789	9.347697473
790	9.342430956
791	9.335032028
792	9.332251383
793	9.327472651
794	9.326332375
795	9.320611839
796	9.318145663
797	9.31631905
798	9.306499
799	9.301338293
800	9.300014762
801	9.299868349
802	9.295550619
803	9.295287982
804	9.293902143
805	9.289992927
806	9.285315628
807	9.282053631
808	9.278597351
809	9.268848226
810	9.266108496
811	9.260402393
812	9.256793798
813	9.247852537
814	9.246520727
815	9.241503413
816	9.236030488
817	9.223319811
818	9.21923892
819	9.215938415
820	9.215815064
821	9.209777281
822	9.20327946
823	9.200610717
824	9.196563941
825	9.195312499
826	9.193764555
827	9.188613266
828	9.182399455
829	9.177600939
830	9.177494361
831	9.173505863
832	9.171237216
833	9.170859095
834	9.163768627
835	9.157897395
836	9.152356926
837	9.143592288
838	9.137814742
839	9.127840845
840	9.12297398
841	9.121914496
842	9.119100007
843	9.113839061
844	9.108301823
845	9.101513615
846	9.090095138
847	9.088000973
848	9.08254442
849	9.076389578
850	9.065061866
851	9.059673946
852	9.058002754
853	9.050140243
854	9.047867991
855	9.047182101
856	9.044789757
857	9.037829391
858	9.037081436
859	9.031067332
860	9.025625844
861	9.021861142
862	9.019104697
863	9.018591803
864	9.013775395
865	9.012382961
866	9.007893543
867	9.004425077
868	9.002164476
869	8.999442489
870	8.993017344
871	8.99144462
872	8.984080448
873	8.98151018
874	8.971868219
875	8.968201929
876	8.958499989
877	8.951197328
878	8.948784303
879	8.944386188
880	8.941115428
881	8.936882897
882	8.926178429
883	8.923568269
884	8.916601001
885	8.912363408
886	8.903596881
887	8.897997404
888	8.888882391
889	8.880159441
890	8.873792971
891	8.87304018
892	8.865150037
893	8.862433428
894	8.861148282
895	8.858740537
896	8.852920221
897	8.850970556
898	8.84447286
899	8.837148848
900	8.835410514
901	8.828435382
902	8.820541952
903	8.809015158
904	8.801166586
905	8.795476899
906	8.793991448
907	8.792708384
908	8.786865762
909	8.780029097
910	8.776547337
911	8.776040661
912	8.770216381
913	8.768050556
914	8.760123219
915	8.756511158
916	8.752138535
917	8.748865527
918	8.740630826
919	8.739778629
920	8.737242218
921	8.735543325
922	8.730201055
923	8.723509747
924	8.718741244
925	8.717670854
926	8.713284537
927	8.70266982
928	8.701234774
929	8.696568813
930	8.692978163
931	8.685865235
932	8.685403766
933	8.679615642
934	8.677734498
935	8.67495679
936	8.671281887
937	8.665064706
938	8.656087657
939	8.6529301
940	8.647674147
941	8.645538114
942	8.640577099
943	8.636744655
944	8.62758593
945	8.624775312
946	8.613002934
947	8.605803993
948	8.604142563
949	8.5999152
950	8.591808358
951	8.589561309
952	8.588457049
953	8.583104533
954	8.5788023
955	8.571402764
956	8.568889112
957	8.560295479
958	8.560176637
959	8.560095658
960	8.55588507
961	8.55468691
962	8.55138418
963	8.54694623
964	8.543126707
965	8.541242099
966	8.537990184
967	8.532174803
968	8.527502535
969	8.518934362
970	8.515643347
971	8.507627634
972	8.503137182
973	8.502450733
974	8.493480081
975	8.492224508
976	8.491611743
977	8.483935582
978	8.477875566
979	8.472221365
980	8.469608457
981	8.46851295
982	8.462990348
983	8.457730056
984	8.453849767
985	8.448978068
986	8.445028884
987	8.44129194
988	8.438435454
989	8.437404021
990	8.435743475
991	8.427932215
992	8.425426366
993	8.421745159
994	8.421518168
995	8.420189182
996	8.420071216
997	8.412421309
998	8.404497763
999	8.401035153
